game_day,date,national team,UCL,UEFA,MBs,KKs,KKQs,NKWs,NKLs,NSZK
1,2000-06-12,EURO-GR-1,,,,,,,,
2,2000-06-17,EURO-GR-2,,,,,,,,
3,2000-06-20,EURO-GR-3,,,,,,,,
4,2000-06-24,EURO-W-1,,,,,,,,
5,2000-06-29,EURO-SF-1,,,,,,,,
6,2000-07-02,EURO-F-1,,,,,,,,
7,2000-07-05,,,,,,KKQ-1,,,
8,2000-07-08,,,,,,KKQ-2,,,
9,2000-07-12,,CHL-Q1-1,,,,,,,
10,2000-07-15,,,,,KKARA-1,KKQ-3,,,
11,2000-07-19,,CHL-Q1-2,,,,,,,
12,2000-07-22,,,,MB-B-1,,,,,
13,2000-07-26,,CHL-Q2-1,,,,,,,
14,2000-07-29,,,,MB-B-2,,,,,
15,2000-08-02,,CHL-Q2-2,,,,,,,
16,2000-08-05,,,,,KKARA-2,,,,
17,2000-08-09,,CHL-Q3-1,UEFA-Q-1,,,,,,
18,2000-08-12,,,,MB-B-3,,,,,
19,2000-08-16,FRIENDLY-NAT-1,,,,,,,,
20,2000-08-19,,,,MB-B-4,,,,,
21,2000-08-23,,CHL-Q3-2,UEFA-Q-2,,,,,,
22,2000-08-26,,,,,,,NKW-1-1,,
23,2000-08-30,,,,,,,,,
24,2000-09-03,WC-Q-1,,,,,,,,
25,2000-09-06,,,,,KKARA-3,,,,
26,2000-09-09,,,,MB-B-5,,,,,
27,2000-09-13,,CHL-G1-1,UEFA-W1-1,,,,,,
28,2000-09-16,,,,MB-B-6,,,,,
29,2000-09-20,,CHL-G1-2,,,KKARA-4,,,,
30,2000-09-23,,,,MB-B-7,,,,,
31,2000-09-27,,CHL-G1-3,UEFA-W1-2,,,,,,
32,2000-09-30,,,,MB-B-8,,,,,
33,2000-10-04,,,,,,,NKW-2-1,,
34,2000-10-07,WC-Q-2,,,,,,,,
35,2000-10-11,WC-Q-3,,,,,,,,
36,2000-10-14,,,,,KKARA-5,,,,
37,2000-10-18,,CHL-G1-4,,,,,,,
38,2000-10-21,,,,MB-B-9,,,,,
39,2000-10-25,,CHL-G1-5,UEFA-W2-1,,,,,,
40,2000-10-28,,,,MB-B-10,,,,,
41,2000-11-01,,,,,,,NKW-3-1,,
42,2000-11-04,,,,,KKROM-1,,,,
43,2000-11-08,,CHL-G1-6,UEFA-W2-2,,,,,,
44,2000-11-11,,,,MB-B-11,,,,,
45,2000-11-15,FRIENDLY-NAT-2,,,,,,,,
46,2000-11-18,,,,MB-B-12,,,,,
47,2000-11-22,,CHL-G2-1,UEFA-W3-1,,KKROM-2,,,,
48,2000-11-25,,,,,KKROM-3,,,,
49,2000-11-29,,,,,,,NKW-4-1,,
50,2000-12-02,,,,MB-B-13,,,,,
51,2000-12-06,,CHL-G2-2,UEFA-W3-2,,,,,,
52,2000-12-09,,,,MB-B-14,,,,,
53,2000-12-13,,,,,,,NKW-5-1,,
54,2000-12-15,,,,,,,,,
55,2000-12-16,,,,,,,NKW-5-2,NKL-5-1,
56,2000-12-17,,,,,,,,,
57,2000-12-20,,,,,,,,,
58,2000-12-23,,,,,,,,,
59,2000-12-27,,,,,,,,,
60,2000-12-30,,,,,,,,,
61,2001-01-03,,,,,,,,,
62,2001-01-06,,,,,,,,,
63,2001-01-10,,,,,,,,,
64,2001-01-13,,,,,,,,,
65,2001-01-17,,,,,,,,,
66,2001-01-20,,,,,,,,,
67,2001-01-24,,,,,,,,,
68,2001-01-27,,,,,,,,,
69,2001-01-31,,,,,KKABC-1,KKJKL-1,,,
70,2001-02-03,,,,MB-R-1,,,,,
71,2001-02-07,,,,,KKABC-2,KKJKL-2,,,
72,2001-02-10,,,,MB-R-2,,,,,
73,2001-02-14,,CHL-G2-3,UEFA-W4-1,,,,,,
74,2001-02-17,,,,MB-R-3,,,,,
75,2001-02-21,,CHL-G2-4,UEFA-W4-2,,,,,,
76,2001-02-24,,,,,,,NKW-6-1,NKL-6-1,
77,2001-02-28,FRIENDLY-NAT-3,,,,,,,,
78,2001-03-03,,,,MB-R-4,,,,,
79,2001-03-07,FRIENDLY-NAT-4,CHL-G2-5,UEFA-QF-1,,,,,,
80,2001-03-10,,,,,KKABC-3,KKJKL-3,,,
81,2001-03-14,,CHL-G2-6,UEFA-QF-2,,,,,,
82,2001-03-17,,,,MB-R-5,,,,,
83,2001-03-21,,,,,,,,,
84,2001-03-24,WC-Q-4,,,,,,,,
85,2001-03-28,WC-Q-5,,,,,,,,
86,2001-03-31,,,,,,,NKW-6-2,NKL-7-1,
87,2001-04-04,,CHL-QF-1,UEFA-SF-1,,,,,,
88,2001-04-07,,,,,KKGOR-1,KKJKL-4,,,
89,2001-04-11,,,,,KKGOR-2,,,,
90,2001-04-14,,,,,KKGOR-3,,,,
91,2001-04-18,,CHL-QF-2,UEFA-SF-2,,,,,,
92,2001-04-21,,,,MB-R-6,,,,,
93,2001-04-25,FRIENDLY-NAT-5,,,,,,,NKL-8-1,
94,2001-04-28,,,,MB-R-7,,,,,
95,2001-05-02,,CHL-SF-1,,,,,,,
96,2001-05-05,,,,MB-R-8,,,,,
97,2001-05-09,,CHL-SF-2,,,,,,,
98,2001-05-12,,,,,,,NKW-7-1,NKL-9-1,
99,2001-05-16,,,UEFA-F-1,,,,,,
100,2001-05-19,,,,MB-R-9,,,,,
101,2001-05-23,,CHL-F-1,,,,,,,
102,2001-05-26,,,,MB-R-10,,,,,
103,2001-05-30,,,,,,,,,
104,2001-06-02,WC-Q-6,,,,,,,,
105,2001-06-06,WC-Q-7,,,,,,,,
106,2001-06-09,,,,,,,,,NSZK-ED
107,2001-06-13,,,,,,,,,NSZK-EF
108,2001-06-16,,,,,,,,,
109,2001-06-20,,,,,,,,,
110,2001-06-23,,,,,,,,,
111,2001-06-27,,,,,,,,,
112,2001-06-30,,,,,,,,,
113,2001-07-04,,,,,,KKQ-1,,,
114,2001-07-07,,,,,,KKQ-2,,,
115,2001-07-11,,CHL-Q1-1,,,,,,,
